Scenario,Method,DDREScenarioId,Node,TimeSlot,VoltageSquared,VoltagePU
S4_DDRE_078,centralized-multi-energy-pq,78,15,19,0.925769327531599,0.962169074295988
S4_DDRE_078,centralized-multi-energy-pq,78,16,19,0.920465861573667,0.959409121060284
S4_DDRE_078,centralized-multi-energy-pq,78,17,19,0.906652060865416,0.952182787528433
S4_DDRE_078,centralized-multi-energy-pq,78,18,19,0.902500618402926,0.950000325475168
S4_DDRE_078,centralized-multi-energy-pq,78,19,19,1.09611602068489,1.04695559632913
S4_DDRE_078,centralized-multi-energy-pq,78,20,19,1.08916042220327,1.04362848859317
S4_DDRE_078,centralized-multi-energy-pq,78,21,19,1.08779100153038,1.04297219595269
S4_DDRE_078,centralized-multi-energy-pq,78,22,19,1.08655229595074,1.04237819238064
S4_DDRE_078,centralized-multi-energy-pq,78,23,19,1.06513438869514,1.03205348150914
S4_DDRE_078,centralized-multi-energy-pq,78,24,19,1.05244124263922,1.02588558944905
S4_DDRE_078,centralized-multi-energy-pq,78,25,19,1.04612450821427,1.02280228207326
S4_DDRE_078,centralized-multi-energy-pq,78,26,19,1.01002890607687,1.00500194331995
S4_DDRE_078,centralized-multi-energy-pq,78,27,19,1.00658264650996,1.00328592460473
S4_DDRE_078,centralized-multi-energy-pq,78,28,19,0.991661442406896,0.995821993333596
S4_DDRE_078,centralized-multi-energy-pq,78,29,19,0.981156465952278,0.990533424954594
S4_DDRE_078,centralized-multi-energy-pq,78,30,19,0.976854597727081,0.988359548811606
S4_DDRE_078,centralized-multi-energy-pq,78,31,19,0.969376872608598,0.984569384354702
S4_DDRE_078,centralized-multi-energy-pq,78,32,19,0.967732068533617,0.983733738637451
S4_DDRE_078,centralized-multi-energy-pq,78,33,19,0.967222513242606,0.983474714084
S4_DDRE_078,centralized-multi-energy-pq,78,1,20,1.1025,1.05
S4_DDRE_078,centralized-multi-energy-pq,78,2,20,1.09737788522923,1.04755805816634
S4_DDRE_078,centralized-multi-energy-pq,78,3,20,1.07326931442581,1.03598712078182
S4_DDRE_078,centralized-multi-energy-pq,78,4,20,1.06076405327638,1.02993400433056
S4_DDRE_078,centralized-multi-energy-pq,78,5,20,1.04845355288169,1.02394020962246
S4_DDRE_078,centralized-multi-energy-pq,78,6,20,1.01608713088921,1.00801147359006
S4_DDRE_078,centralized-multi-energy-pq,78,7,20,1.00489475730003,1.00244439112603
S4_DDRE_078,centralized-multi-energy-pq,78,8,20,0.995693302790842,0.997844327934394
S4_DDRE_078,centralized-multi-energy-pq,78,9,20,0.980154004685122,0.990027274717784
S4_DDRE_078,centralized-multi-energy-pq,78,10,20,0.965428101754416,0.98256200911414
S4_DDRE_078,centralized-multi-energy-pq,78,11,20,0.963720101007878,0.981692467633259
S4_DDRE_078,centralized-multi-energy-pq,78,12,20,0.960705894435326,0.980156056164183
S4_DDRE_078,centralized-multi-energy-pq,78,13,20,0.943945970073494,0.971568819010519
S4_DDRE_078,centralized-multi-energy-pq,78,14,20,0.935790709689036,0.967362760131397
S4_DDRE_078,centralized-multi-energy-pq,78,15,20,0.930418542035877,0.964582055626102
S4_DDRE_078,centralized-multi-energy-pq,78,16,20,0.925155406377346,0.961849991618935
S4_DDRE_078,centralized-multi-energy-pq,78,17,20,0.911319293574604,0.95463044869447
S4_DDRE_078,centralized-multi-energy-pq,78,18,20,0.907137152618672,0.95243747963773
S4_DDRE_078,centralized-multi-energy-pq,78,19,20,1.09640213595735,1.04709222896426
S4_DDRE_078,centralized-multi-energy-pq,78,20,20,1.08980141494929,1.0439355415682
